,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
77,77.0,11,164.0,2.1866666666666665,12.665029365019851,8,0,0,2
78,78.0,12,175.0,2.3333333333333335,12.126332281990635,8,0,2,2
79,79.0,12,186.0,2.547945205479452,11.844547456467497,8,0,1,2
80,80.0,13,198.0,2.712328767123288,11.782222410698274,8,0,2,2
81,81.0,15,207.0,2.875,11.263548881073351,9,0,2,3
82,82.0,15,220.0,3.0136986301369864,11.414938059718,9,1,1,3
83,83.0,14,233.0,3.236111111111111,11.628548269639602,9,1,0,4
84,84.0,14,247.0,3.4788732394366195,11.589609944646336,9,1,0,4
85,85.0,17,262.0,3.589041095890411,11.400349608040228,10,1,0,4
86,86.0,18,278.0,3.7567567567567566,11.392665458531518,10,1,2,4
87,87.0,18,295.0,3.9864864864864864,11.598962311515157,10,2,1,4
88,88.0,18,312.0,4.216216216216216,11.628486161840527,10,2,1,4
89,89.0,18,330.0,4.45945945945946,11.942394980584089,10,2,1,5
90,90.0,20,348.0,4.64,11.692463551135042,10,2,1,5
91,91.0,19,366.0,4.815789473684211,11.890293759270916,10,2,1,5
92,92.0,18,381.0,5.0131578947368425,12.01965892404852,10,2,2,4
93,93.0,19,399.0,5.181818181818182,12.027462481063203,10,2,2,4
94,94.0,22,419.0,5.30379746835443,12.02499788995631,11,2,3,4
95,95.0,22,441.0,5.582278481012659,12.021082280280352,11,2,4,5
96,96.0,23,462.0,5.775,11.902321320302587,12,2,3,5
97,97.0,23,484.0,6.05,11.673833282981079,12,2,3,5
98,98.0,23,506.0,6.246913580246914,11.541847455492373,12,2,3,5
99,99.0,26,491.0,5.9156626506024095,11.354125512946993,13,2,4,4
100,100.0,26,496.0,5.904761904761905,11.219238494089478,14,2,4,3
101,101.0,24,501.0,5.894117647058824,11.399096672170547,14,2,4,2
102,102.0,25,524.0,6.1647058823529415,11.345327528258943,14,2,5,2
103,103.0,25,548.0,6.602409638554217,11.248525418481673,15,2,4,2
104,104.0,25,573.0,6.903614457831325,11.497137250709862,16,2,4,2
105,105.0,26,598.0,7.119047619047619,11.632551402997484,16,2,4,2
106,106.0,26,623.0,7.329411764705882,11.636035354764225,16,2,4,2
107,107.0,27,648.0,7.448275862068965,11.508943612540785,16,2,4,2
108,108.0,28,675.0,7.848837209302325,11.351337774184035,16,3,4,4
109,109.0,28,702.0,8.068965517241379,11.40960911145724,16,3,5,3
110,110.0,28,729.0,8.476744186046512,11.191484563455903,16,3,4,3
111,111.0,28,753.0,8.655172413793103,11.289760408107517,17,3,4,2
112,112.0,28,780.0,8.863636363636363,11.364786623856725,17,3,4,2
113,113.0,28,807.0,9.170454545454545,11.210608834170559,17,3,4,3
114,114.0,28,714.0,8.02247191011236,11.331674100246902,17,3,5,2
115,115.0,26,665.0,7.47191011235955,11.397401039109338,15,3,5,2
116,116.0,26,619.0,6.802197802197802,11.31777030379929,13,3,5,3
117,117.0,25,590.0,6.483516483516484,11.058089331075475,12,3,5,2
118,118.0,25,561.0,6.032258064516129,10.9032952031009,11,3,5,2
119,119.0,24,535.0,5.691489361702128,10.987676278215707,10,3,6,2
120,120.0,24,509.0,5.414893617021277,10.920855023209555,9,4,6,2
121,121.0,25,497.0,5.231578947368421,11.10027137460347,8,3,8,2
122,122.0,26,522.0,5.4375,11.354070986694177,8,3,7,3
123,123.0,26,518.0,5.34020618556701,11.566500394306134,7,3,9,3
124,124.0,25,518.0,5.285714285714286,11.769683646386671,6,3,8,4
125,125.0,26,521.0,5.262626262626263,11.875440387585389,6,3,8,3
126,126.0,26,523.0,5.23,11.867901005632447,5,3,8,3
127,127.0,24,530.0,5.247524752475248,12.09591201736892,4,3,8,3
128,128.0,24,539.0,5.284313725490196,12.182977947510159,3,3,8,3
129,129.0,26,564.0,5.475728155339806,12.087989460401094,4,3,8,4
130,130.0,25,576.0,5.647058823529412,11.800224253010956,4,3,8,4
131,131.0,24,589.0,5.7745098039215685,11.66861645034895,5,3,8,4
132,132.0,25,601.0,5.778846153846154,11.27981226212614,5,3,8,4
133,133.0,23,616.0,5.923076923076923,11.125180342852236,5,3,9,4
134,134.0,25,634.0,6.038095238095238,10.773840386983492,6,3,10,5
135,135.0,27,653.0,6.160377358490566,10.31578218708649,6,3,11,4
136,136.0,27,674.0,6.419047619047619,10.091155120783121,5,3,12,4
137,137.0,28,699.0,6.786407766990291,10.185009947743037,5,3,13,5
138,138.0,29,707.0,6.798076923076923,10.201769022514297,4,3,14,5
139,139.0,26,721.0,7.068627450980392,10.408322073442868,4,3,13,4
140,140.0,25,742.0,7.346534653465347,10.396403720355627,4,3,13,3
141,141.0,24,725.0,7.038834951456311,10.421538469735342,3,3,11,3
142,142.0,22,730.0,7.1568627450980395,10.50428889767323,3,3,10,3
143,143.0,20,736.0,7.145631067961165,10.59333425818305,3,3,8,3
144,144.0,20,724.0,7.029126213592233,10.990372072682847,3,4,7,4
145,145.0,21,722.0,6.876190476190477,10.966546089305714,2,4,8,4
146,146.0,19,741.0,7.125,11.182183133642521,2,4,7,4
147,147.0,20,761.0,7.3173076923076925,11.459132872787924,3,4,7,4
148,148.0,21,781.0,7.509615384615385,11.43510226907485,3,4,7,4
149,149.0,24,803.0,7.647619047619048,11.345184097313645,5,4,7,4
150,150.0,23,818.0,7.716981132075472,11.386567088763954,5,4,7,3
151,151.0,26,842.0,7.869158878504673,11.16940285319609,6,5,8,4
152,152.0,26,867.0,8.102803738317757,11.114385242174967,7,4,8,4
153,153.0,27,885.0,8.271028037383177,11.044685056866673,7,4,9,4
154,154.0,26,904.0,8.448598130841122,11.13666058949274,6,4,10,4
155,155.0,26,868.0,8.18867924528302,11.174433354671486,6,4,11,4
156,156.0,27,869.0,8.19811320754717,11.104613288310254,5,4,12,5
157,157.0,28,891.0,8.485714285714286,11.027710157434642,5,4,14,5
158,158.0,28,912.0,8.685714285714285,10.907565767133162,4,4,13,5
159,159.0,28,935.0,8.990384615384615,10.90747786339485,4,4,14,5
160,160.0,28,959.0,9.221153846153847,10.99156789179252,4,4,14,5
161,161.0,30,984.0,9.19626168224299,10.821053212600937,4,4,14,5
162,162.0,27,927.0,8.583333333333334,10.77596730490926,3,5,14,5
163,163.0,25,950.0,8.878504672897197,10.675455025180348,2,4,14,5
164,164.0,29,976.0,8.954128440366972,10.10555109043353,3,5,14,5
165,165.0,30,1005.0,9.305555555555555,9.65950210095297,4,5,15,5
166,166.0,29,1034.0,9.574074074074074,9.538410552838634,4,5,15,5
167,167.0,36,1068.0,9.79816513761468,9.221046856355013,7,6,16,5
168,168.0,37,1103.0,10.027272727272727,9.139383286030041,7,6,17,5
169,169.0,37,1138.0,10.252252252252251,9.244095286423754,7,6,18,5
170,170.0,40,1176.0,10.4070796460177,9.169045008367974,8,6,19,6
171,171.0,37,1183.0,10.469026548672566,9.044997771355229,6,6,19,6
172,172.0,38,1220.0,10.701754385964913,9.07606247915794,7,6,18,6
173,173.0,41,1260.0,11.150442477876107,9.018456642609985,8,6,20,6
174,174.0,42,1300.0,11.403508771929825,9.003932975585993,9,6,19,7
175,175.0,45,1344.0,11.893805309734514,8.995705757870882,10,6,21,7
176,176.0,45,1389.0,12.401785714285714,9.03060076170912,11,6,21,7
177,177.0,45,1434.0,13.155963302752294,8.709895913886204,11,6,21,7
178,178.0,48,1481.0,13.463636363636363,8.549064801488145,12,6,22,7
179,179.0,49,1529.0,13.9,8.102143593820578,12,6,23,7
180,180.0,49,1571.0,14.281818181818181,7.596427232406663,13,6,23,6
181,181.0,51,1621.0,14.736363636363636,7.243019004930827,14,6,24,6
182,182.0,54,1673.0,15.072072072072071,6.920381120123538,16,6,24,6
183,183.0,57,1728.0,15.29203539823009,6.848213021616644,16,6,27,6
184,184.0,58,1783.0,15.640350877192983,6.796493326762055,17,6,26,6
185,185.0,59,1841.0,16.149122807017545,6.825703737840264,17,6,27,6
186,186.0,60,1900.0,16.8141592920354,6.606723609974638,18,6,27,6
187,187.0,61,1961.0,17.353982300884955,6.665678173785142,18,6,28,6
188,188.0,63,2023.0,17.74561403508772,6.657600312606127,18,6,28,6
189,189.0,64,2085.0,18.130434782608695,6.573795682618976,18,6,28,6
190,190.0,62,2147.0,18.833333333333332,6.555738747462212,18,6,28,6
191,191.0,66,2210.0,18.88888888888889,6.515926566833831,18,6,29,6
192,192.0,66,2275.0,19.444444444444443,6.46629285363524,18,6,29,6
193,193.0,65,2339.0,19.99145299145299,6.600627937032219,18,6,29,6
194,194.0,67,2404.0,20.372881355932204,6.4849084718172065,18,6,29,7
195,195.0,68,2471.0,20.764705882352942,6.521338121246875,18,6,30,6
196,196.0,67,2538.0,21.327731092436974,6.684994773480891,18,6,30,6
197,197.0,70,2606.0,21.716666666666665,6.481350079221979,18,7,30,6
198,198.0,68,2606.0,21.716666666666665,6.478510077636344,16,7,31,6
199,199.0,67,2621.0,21.841666666666665,6.4013558553617145,14,7,32,6
200,200.0,66,2637.0,21.975,6.298443645019099,12,7,33,6
201,201.0,65,2653.0,21.925619834710744,6.379004735282752,10,7,34,6
202,202.0,65,2685.0,22.1900826446281,6.337319967405317,9,7,35,6
203,203.0,67,2720.0,22.295081967213115,6.4517062386025765,8,7,37,6
204,204.0,66,2754.0,22.390243902439025,6.457977747376044,7,8,37,6
205,205.0,64,2787.0,22.658536585365855,6.546097067187528,6,7,37,6
206,206.0,67,2821.0,22.568,6.510910362861529,5,7,38,7
207,207.0,65,2853.0,23.008064516129032,6.349360168574133,4,7,38,6
208,208.0,66,2918.0,23.344,6.333834926156456,5,7,38,6
209,209.0,68,2953.0,23.436507936507937,6.155841250970489,4,7,39,6
210,210.0,67,2989.0,23.53543307086614,6.119529778578463,4,7,39,6
211,211.0,67,3024.0,23.811023622047244,6.1281702462637275,5,7,38,6
212,212.0,67,3059.0,23.8984375,6.099940354702704,5,7,38,6
213,213.0,70,3098.0,24.015503875968992,5.922884735905228,6,7,41,6
214,214.0,68,3136.0,24.123076923076923,5.790996141201614,6,7,39,6
215,215.0,71,3177.0,24.251908396946565,5.728294837776375,7,7,41,7
216,216.0,72,3219.0,24.203007518796994,5.771460410377103,9,7,41,6
217,217.0,71,3263.0,24.533834586466167,5.838094148643115,8,7,42,6
218,218.0,74,3311.0,24.708955223880597,5.911942448511924,9,7,44,6
219,219.0,74,3340.0,24.925373134328357,5.9757681237557465,8,7,46,6
220,220.0,74,3395.0,25.14814814814815,6.196012787073134,7,7,46,6
221,221.0,72,3437.0,25.649253731343283,6.260418314224108,6,7,46,6
222,222.0,70,3481.0,25.97761194029851,6.2416203929009955,5,7,46,6
223,223.0,69,3523.0,26.096296296296295,6.179505826027665,4,7,45,6
224,224.0,69,3572.0,26.264705882352942,6.238056009159927,5,7,46,6
225,225.0,67,3622.0,26.82962962962963,6.006776267364695,4,7,46,6
226,226.0,67,3675.0,27.425373134328357,5.88320934637116,4,7,46,6
227,227.0,69,3743.0,27.725925925925925,5.9120209673993545,5,7,47,6
228,228.0,70,3805.0,27.977941176470587,6.110952237594211,5,7,47,7
229,229.0,71,3870.0,28.248175182481752,6.133486249696745,6,7,47,8
230,230.0,71,3936.0,28.52173913043478,6.174887404580194,6,7,47,7
231,231.0,71,3996.0,28.956521739130434,6.124595780838333,6,7,47,7
232,232.0,71,4060.0,29.420289855072465,5.9639673242565925,5,7,47,6
233,233.0,70,4126.0,29.68345323741007,5.9989853256354095,4,7,47,6
234,234.0,71,4193.0,29.95,6.004241863436776,5,7,48,6
235,235.0,74,4262.0,30.22695035460993,5.938395874379336,6,7,48,6
236,236.0,74,4333.0,30.514084507042252,5.914160153232315,7,7,48,6
237,237.0,75,4406.0,30.81118881118881,5.912618504318073,7,7,48,6
238,238.0,75,4479.0,31.104166666666668,5.858907820016574,7,7,48,6
239,239.0,77,4554.0,31.406896551724138,5.818069262306153,8,7,48,6
240,240.0,75,4619.0,31.855172413793102,5.90864482619643,7,7,48,6
241,241.0,77,4683.0,31.857142857142858,5.8350263001655405,7,7,48,6
242,242.0,75,4750.0,32.31292517006803,5.939381080209371,6,7,48,7
243,243.0,75,4817.0,32.7687074829932,5.8923700692341,6,7,48,7
244,244.0,76,4887.0,33.244897959183675,5.713075072222687,6,7,48,8
245,245.0,76,4959.0,33.734693877551024,5.767175738412367,6,7,48,8
246,246.0,79,5034.0,34.013513513513516,5.920426395667063,5,7,48,9
247,247.0,80,5109.0,34.520270270270274,5.964111859951309,5,7,49,9
248,248.0,80,5187.0,34.81208053691275,6.078700941739539,5,8,49,9
249,249.0,76,5214.0,34.993288590604024,6.010416526418986,2,7,49,9
250,250.0,77,5269.0,35.126666666666665,5.736251674829972,1,7,49,9
251,251.0,74,5342.0,35.852348993288594,5.8457038782050725,1,7,49,9
252,252.0,74,5415.0,36.83673469387755,5.731834898273277,1,7,49,9
253,253.0,76,5489.0,37.08783783783784,5.572150867349933,1,7,49,9
254,254.0,76,5564.0,37.34228187919463,5.598811092214791,2,7,49,9
255,255.0,78,5641.0,37.85906040268456,5.500729457818768,3,7,49,9
256,256.0,81,5720.0,37.88079470198676,5.513491283665159,4,7,49,9
257,257.0,80,5800.0,38.41059602649007,5.612007293656743,5,7,49,9
258,258.0,82,5875.0,38.90728476821192,5.569887179310496,5,7,49,9
259,259.0,83,5950.0,38.63636363636363,5.556676333206441,4,7,49,9
260,260.0,82,6027.0,39.3921568627451,5.428734268949197,4,7,49,9
261,261.0,82,6104.0,39.63636363636363,5.559268209360838,4,7,49,9
262,262.0,83,6182.0,40.142857142857146,5.490938236486634,4,7,49,9
263,263.0,83,6261.0,40.65584415584416,5.330389442796412,4,7,50,9
264,264.0,84,6341.0,40.909677419354836,5.307230156861043,4,7,49,9
265,265.0,83,6420.0,41.15384615384615,5.336600843816993,3,7,49,9
266,266.0,86,6502.0,41.67948717948718,5.209931408916422,3,8,49,9
267,267.0,85,6584.0,42.47741935483871,5.12186267900512,2,8,49,9
268,268.0,86,6668.0,43.298701298701296,4.97734594257239,3,8,49,9
269,269.0,87,6753.0,43.56774193548387,4.934513879640059,3,8,49,9
270,270.0,88,6840.0,43.84615384615385,4.849430621005676,4,8,49,9
271,271.0,90,6928.0,44.12738853503185,4.7129695275392285,4,8,50,9
272,272.0,91,7016.0,44.40506329113924,4.467232514564995,4,8,50,9
273,273.0,91,7106.0,44.691823899371066,4.450104096084506,4,8,50,9
274,274.0,92,7198.0,45.270440251572325,4.413520378816265,6,8,50,9
275,275.0,96,7292.0,45.575,4.339208045816011,7,8,51,9
276,276.0,95,7387.0,46.16875,4.2372116673915805,7,8,51,9
277,277.0,99,7484.0,46.19753086419753,4.143356559614143,8,8,52,9
278,278.0,99,7580.0,46.21951219512195,4.02995099757201,7,8,51,9
279,279.0,97,7671.0,47.061349693251536,3.8820445764067366,8,8,51,9
280,280.0,100,7770.0,47.96296296296296,3.699092610779827,9,8,52,9
281,281.0,103,7872.0,48.592592592592595,3.693388635659086,11,8,53,9
282,282.0,104,7559.0,46.374233128834355,3.625325801672764,11,11,53,7
283,283.0,102,7383.0,45.01829268292683,3.709893028443462,12,10,53,5
284,284.0,102,7242.0,43.89090909090909,3.809967213187498,13,10,53,3
