edges_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;edge_from;edge_id;edge_length;edge_numLanes;edge_priority;edge_speed;edge_to;edge_shape;edge_spreadType;edge_disallow;edge_name;edge_type;lane_index;param_key;param_value
1.20;;;;;ncr30_rl_3;CR30_RL_4;100.00;4;11;20.12;i_cr30_lln;10613.19,1162.47 10589.90,1168.11 10566.46,1174.98 10530.16,1190.26 10495.11,1208.07;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;243595584
1.20;;;;;ncr30_rl_3;CR30_RL_4;100.00;4;11;20.12;i_cr30_lln;10613.19,1162.47 10589.90,1168.11 10566.46,1174.98 10530.16,1190.26 10495.11,1208.07;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;243595584
1.20;;;;;ncr30_rl_3;CR30_RL_4;100.00;4;11;20.12;i_cr30_lln;10613.19,1162.47 10589.90,1168.11 10566.46,1174.98 10530.16,1190.26 10495.11,1208.07;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;3;origId;243595584
1.20;;;;;gneJ7;CR30_RL_4from3;200.00;2;11;20.12;ncr30_rl_3;10796.90,1173.41 10765.31,1164.79 10721.48,1157.66 10694.33,1155.73 10668.64,1155.73 10646.17,1157.42 10616.81,1161.59 10613.19,1162.47;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;243595584
1.20;;;;;gneJ7;CR30_RL_4from3;200.00;2;11;20.12;ncr30_rl_3;10796.90,1173.41 10765.31,1164.79 10721.48,1157.66 10694.33,1155.73 10668.64,1155.73 10646.17,1157.42 10616.81,1161.59 10613.19,1162.47;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;243595584
1.20;;;;;i_cr30_lln;CR30_RL_5;224.00;2;11;22.35;gneJ2;10495.27,1204.38 10475.28,1217.01 10460.22,1227.14 10384.58,1277.86 10336.61,1306.62 10305.79,1324.70;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;760579296
1.20;;;;;i_cr30_lln;CR30_RL_5;224.00;2;11;22.35;gneJ2;10495.27,1204.38 10475.28,1217.01 10460.22,1227.14 10384.58,1277.86 10336.61,1306.62 10305.79,1324.70;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;760579296
1.20;;;;;ncr30_rl_4;CR30_RL_6;100.00;3;11;22.35;i_cr30_pln;10219.68,1376.28 10119.64,1436.40;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;760579296
1.20;;;;;ncr30_rl_4;CR30_RL_6;100.00;3;11;22.35;i_cr30_pln;10219.68,1376.28 10119.64,1436.40;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;760579296
1.20;;;;;ncr30_rl_4;CR30_RL_6;100.00;3;11;22.35;i_cr30_pln;10219.68,1376.28 10119.64,1436.40;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;760579296
