,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,0.6819543560617604,0,0,0,0
3,3.0,1,0.0,0.0,1.631176351569593,0,0,0,0
4,4.0,1,0.0,0.0,2.6832602058362687,0,0,0,0
5,5.0,1,0.0,0.0,3.43622963749338,0,0,1,0
6,6.0,1,0.0,0.0,4.279932140947009,0,0,0,0
7,7.0,1,0.0,0.0,5.215210169217815,0,0,0,0
8,8.0,1,0.0,0.0,6.287490734810126,0,0,0,0
9,9.0,1,0.0,0.0,7.258474107774802,0,0,0,1
10,10.0,2,0.0,0.0,7.263351214571262,0,0,0,0
11,11.0,1,0.0,0.0,8.211377808734929,0,0,0,0
12,12.0,1,0.0,0.0,9.31686302667449,0,0,0,0
13,13.0,1,0.0,0.0,9.653510346284902,1,0,0,0
14,14.0,1,0.0,0.0,9.339038902626358,0,0,0,0
15,15.0,1,0.0,0.0,9.535527383836019,0,0,0,0
16,16.0,1,0.0,0.0,10.001417159524147,0,0,0,0
17,17.0,1,0.0,0.0,10.17766719420611,0,0,0,0
18,18.0,2,1.0,0.05263157894736842,10.340043968225185,0,0,1,0
19,19.0,2,2.0,0.1,10.33638140682309,0,0,1,0
20,20.0,2,3.0,0.14285714285714285,10.625906208356048,0,0,1,0
21,21.0,2,4.0,0.18181818181818182,11.132792098095795,0,0,1,0
22,22.0,2,5.0,0.21739130434782608,11.633598315393611,0,0,1,0
23,23.0,2,6.0,0.25,11.707905125943483,0,0,1,0
24,24.0,2,7.0,0.28,11.970400184868392,0,0,2,0
25,25.0,2,8.0,0.3076923076923077,12.283400171762251,0,0,1,0
26,26.0,1,9.0,0.34615384615384615,12.971255208905093,0,0,1,0
27,27.0,2,10.0,0.37037037037037035,13.152205854358309,0,0,1,0
28,28.0,4,13.0,0.4642857142857143,13.020510614591691,1,1,1,0
29,29.0,4,16.0,0.5517241379310345,13.226773540505382,1,1,2,0
30,30.0,3,16.0,0.5333333333333333,13.35607422151187,1,0,1,0
31,31.0,4,19.0,0.6129032258064516,13.66834498419756,1,0,1,0
32,32.0,3,20.0,0.625,13.906051766307595,1,0,2,0
33,33.0,3,22.0,0.6666666666666666,14.219345663921473,1,0,1,0
34,34.0,3,24.0,0.7058823529411765,14.435268045418836,1,0,1,0
35,35.0,3,26.0,0.7428571428571429,14.688039931047813,1,0,1,0
36,36.0,2,28.0,0.8,15.054983928179945,1,0,1,0
37,37.0,5,30.0,0.7894736842105263,14.358182472562147,1,0,1,0
38,38.0,4,32.0,0.8,14.306116114958147,1,0,1,0
39,39.0,4,35.0,0.8536585365853658,14.60557878734236,1,0,2,0
40,40.0,3,38.0,0.95,15.01289115841603,1,0,2,0
41,41.0,5,41.0,0.9761904761904762,14.638618220114509,1,0,2,0
42,42.0,5,45.0,1.0465116279069768,14.788806276011503,1,0,3,0
43,43.0,5,49.0,1.1136363636363635,14.92823700571649,1,0,3,0
44,44.0,6,54.0,1.2,15.055390105159027,1,0,4,0
45,45.0,6,59.0,1.3111111111111111,15.20465892222595,1,0,4,0
46,46.0,6,64.0,1.391304347826087,15.302489093310728,1,0,4,0
47,47.0,6,69.0,1.5,14.982389728401845,1,0,4,0
48,48.0,7,75.0,1.5957446808510638,14.763823175002807,2,0,4,1
49,49.0,8,81.0,1.653061224489796,14.203516178683326,2,0,4,0
50,50.0,7,88.0,1.7959183673469388,14.308373000808299,3,0,4,0
51,51.0,8,95.0,1.9,14.385253684952033,3,0,4,0
52,52.0,9,102.0,2.0,13.910576200986647,3,0,5,0
53,53.0,8,109.0,2.0961538461538463,13.896730398240638,3,0,4,0
54,54.0,9,117.0,2.25,13.86655455286262,4,0,4,0
55,55.0,9,126.0,2.423076923076923,14.357987962746574,4,0,4,1
56,56.0,11,135.0,2.5,14.135297720498315,4,0,4,1
57,57.0,12,145.0,2.5892857142857144,13.622343712379992,5,0,4,1
58,58.0,11,155.0,2.719298245614035,13.423553142992613,5,0,4,1
59,59.0,11,165.0,2.8448275862068964,13.204385383920327,5,1,4,1
60,60.0,10,175.0,3.0172413793103448,13.354728262876613,5,0,4,1
61,61.0,12,185.0,3.0833333333333335,13.020390211635325,5,1,4,1
62,62.0,12,196.0,3.2666666666666666,12.813964315393791,6,0,4,1
63,63.0,12,207.0,3.3934426229508197,12.616503992186177,6,0,4,2
64,64.0,14,219.0,3.4761904761904763,12.454432486648932,6,0,6,1
65,65.0,12,231.0,3.6666666666666665,12.647205214352432,6,0,5,1
66,66.0,14,244.0,3.8125,12.689597247573975,7,0,5,1
67,67.0,15,258.0,4.03125,12.45984768635057,8,0,6,1
68,68.0,16,273.0,4.2,12.365103160892813,8,0,5,2
69,69.0,15,286.0,4.333333333333333,12.215819810090636,8,1,5,1
70,70.0,15,300.0,4.477611940298507,12.142317518567658,8,0,5,1
71,71.0,15,315.0,4.7727272727272725,12.276666954015619,9,0,5,1
72,72.0,16,330.0,4.925373134328358,12.126980171223787,9,0,5,1
73,73.0,18,346.0,5.088235294117647,11.639086012503896,9,1,5,1
74,74.0,19,364.0,5.27536231884058,11.424799303134938,10,3,5,1
75,75.0,19,373.0,5.328571428571428,11.31811443834557,10,2,5,1
76,76.0,20,382.0,5.457142857142857,10.765980869338252,9,2,6,2
77,77.0,19,394.0,5.628571428571429,10.698833725536863,8,3,6,1
78,78.0,19,408.0,5.746478873239437,10.848857828622679,7,3,8,1
79,79.0,19,426.0,6.0,11.08710661071605,7,3,7,1
80,80.0,19,444.0,6.166666666666667,11.302735078865819,7,3,7,1
81,81.0,21,463.0,6.256756756756757,11.221732750550848,7,3,9,1
82,82.0,20,482.0,6.426666666666667,11.213307526150384,7,3,8,1
83,83.0,20,502.0,6.783783783783784,11.236772071796176,7,4,8,1
84,84.0,19,500.0,6.756756756756757,11.171968613401718,8,2,8,1
85,85.0,23,513.0,6.75,10.911072298025976,9,1,9,2
86,86.0,24,535.0,6.858974358974359,10.92505519483799,10,1,10,2
