system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
1.0,0,0.0,0.0,13.69931875
2.0,0,0.0,0.0,13.188607679730227
3.0,0,0.0,0.0,13.214225970625415
4.0,0,0.0,0.0,12.954147754705927
5.0,0,0.0,0.0,12.893952550756126
6.0,0,0.0,0.0,12.753067613646126
7.0,0,0.0,0.0,12.847319532071028
8.0,0,0.0,0.0,12.560776064742239
9.0,0,0.0,0.0,12.765108196804949
10.0,0,0.0,0.0,12.597297976048688
11.0,0,0.0,0.0,12.327366738038203
12.0,0,0.0,0.0,12.11375358264178
13.0,0,0.0,0.0,11.833552685001338
14.0,1,1.0,0.01098901098901099,11.622354346433402
15.0,1,2.0,0.020202020202020204,11.342395459457215
16.0,2,4.0,0.038461538461538464,11.163392387127557
17.0,3,7.0,0.0625,11.17387373455077
18.0,4,11.0,0.09401709401709402,11.134629800296935
19.0,5,16.0,0.128,11.204585968451049
20.0,5,21.0,0.16153846153846155,11.238207456045032
21.0,7,28.0,0.2028985507246377,11.274690981132329
22.0,9,37.0,0.25874125874125875,11.06172633296244
23.0,9,46.0,0.304635761589404,10.778333892641193
24.0,10,56.0,0.358974358974359,10.608242258596874
25.0,11,67.0,0.40853658536585363,10.700686861008439
26.0,13,80.0,0.47337278106508873,10.640569219799398
27.0,15,95.0,0.536723163841808,10.544935907537669
28.0,16,111.0,0.6098901098901099,10.231565985454028
29.0,18,129.0,0.6789473684210526,10.014637277089266
30.0,21,150.0,0.7692307692307693,9.637660296968164
31.0,25,175.0,0.8620689655172413,9.339553982653689
32.0,26,199.0,0.9567307692307693,9.161107843059067
33.0,31,230.0,1.0648148148148149,9.1394397684135
34.0,35,265.0,1.1990950226244343,9.006932029171091
35.0,37,302.0,1.3187772925764192,8.808596834046426
36.0,39,299.0,1.2777777777777777,8.436626549515337
37.0,38,283.0,1.1694214876033058,8.146871189836645
38.0,42,283.0,1.145748987854251,7.795189985051713
39.0,44,288.0,1.1338582677165354,7.59004422896534
40.0,53,305.0,1.182170542635659,7.3165724878754546
41.0,60,335.0,1.2641509433962264,7.0895292955221505
42.0,67,373.0,1.3866171003717471,6.813532902813181
43.0,75,419.0,1.5181159420289856,6.585461844334895
44.0,74,426.0,1.5214285714285714,6.3051294028160205
45.0,71,428.0,1.4912891986062717,6.188520394373286
46.0,70,435.0,1.4948453608247423,5.917927489903503
47.0,68,459.0,1.5402684563758389,5.805352440692364
48.0,67,480.0,1.5894039735099337,5.659175493020286
49.0,69,509.0,1.6472491909385114,5.7161087965568
50.0,65,532.0,1.6996805111821087,5.609786130457833
51.0,64,567.0,1.771875,5.701218781958822
52.0,59,521.0,1.6080246913580247,5.686484650678783
53.0,60,477.0,1.4410876132930515,5.832238351799765
54.0,60,457.0,1.364179104477612,5.955644645466752
55.0,62,462.0,1.346938775510204,6.1211336241176095
56.0,63,480.0,1.3793103448275863,6.163535142797591
57.0,67,520.0,1.4647887323943662,6.281801745047986
58.0,68,559.0,1.5614525139664805,6.2561165717671265
59.0,73,615.0,1.6988950276243093,6.290414274730428
60.0,79,655.0,1.8093922651933703,6.208503170262776
61.0,79,681.0,1.8555858310626703,6.257896838902626
62.0,83,719.0,1.9432432432432432,6.169720664789361
63.0,86,772.0,2.047745358090186,6.133947079621568
64.0,89,780.0,2.058047493403694,6.058884316791478
65.0,87,784.0,2.0469973890339426,6.085503923888712
66.0,87,798.0,2.078125,6.0316846540668685
67.0,95,822.0,2.1076923076923078,5.982963765614673
68.0,103,859.0,2.1746835443037975,5.9339433999521205
69.0,103,876.0,2.201005025125628,6.086038741932809
70.0,106,892.0,2.235588972431078,6.073178578648569
71.0,111,927.0,2.2832512315270934,6.076796188583188
