system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
1.0,0,0.0,0.0,13.69931875
2.0,0,0.0,0.0,13.188607679730227
3.0,0,0.0,0.0,13.214225970625415
4.0,0,0.0,0.0,12.954147754705927
5.0,0,0.0,0.0,12.893952550756126
6.0,0,0.0,0.0,12.753067613646126
7.0,0,0.0,0.0,12.847319532071028
8.0,0,0.0,0.0,12.560776064742239
9.0,0,0.0,0.0,12.765108196804949
10.0,0,0.0,0.0,12.597297976048688
11.0,0,0.0,0.0,12.327366738038203
12.0,0,0.0,0.0,12.11375358264178
13.0,0,0.0,0.0,11.833552685001338
14.0,1,1.0,0.01098901098901099,11.622354346433402
15.0,1,2.0,0.020202020202020204,11.342395459457215
16.0,2,4.0,0.038461538461538464,11.163392387127557
17.0,3,7.0,0.0625,11.17387373455077
18.0,4,11.0,0.09401709401709402,11.134629800296935
19.0,5,16.0,0.128,11.204585968451049
20.0,5,21.0,0.16153846153846155,11.238207456045032
21.0,7,28.0,0.2028985507246377,11.274690981132329
22.0,9,37.0,0.25874125874125875,11.06172633296244
23.0,9,46.0,0.304635761589404,10.778333892641193
24.0,10,56.0,0.358974358974359,10.608242258596874
25.0,11,67.0,0.40853658536585363,10.700686861008439
26.0,13,80.0,0.47337278106508873,10.640569219799398
27.0,15,95.0,0.536723163841808,10.544935907537669
28.0,16,111.0,0.6098901098901099,10.231565985454028
29.0,18,129.0,0.6789473684210526,10.014637277089266
30.0,21,150.0,0.7692307692307693,9.637660296968164
31.0,25,175.0,0.8620689655172413,9.3223748773598
32.0,26,199.0,0.9567307692307693,9.109736279498685
33.0,29,216.0,1.0,9.026973791780813
34.0,31,241.0,1.090497737556561,8.79032950612703
35.0,31,263.0,1.148471615720524,8.492911749869346
36.0,32,249.0,1.064102564102564,8.027050317607442
37.0,31,225.0,0.9297520661157025,7.66985132607648
38.0,37,220.0,0.8906882591093117,7.293590764248806
39.0,44,225.0,0.8858267716535433,7.027708151644208
40.0,50,239.0,0.9263565891472868,6.748323626394332
41.0,59,268.0,1.0113207547169811,6.489984987134402
42.0,65,294.0,1.0929368029739777,6.12349621642175
43.0,72,312.0,1.1304347826086956,5.903195464069587
44.0,74,297.0,1.0607142857142857,5.751761000705593
45.0,67,274.0,0.9547038327526133,5.827636105141445
46.0,67,262.0,0.9003436426116839,5.785145018681515
47.0,64,271.0,0.9093959731543624,5.813522125126541
48.0,58,273.0,0.9039735099337748,5.799915671077945
49.0,52,277.0,0.8964401294498382,5.962115344231131
50.0,47,281.0,0.8977635782747604,5.985387050784714
51.0,50,301.0,0.940625,6.176780659558046
52.0,50,332.0,1.0246913580246915,6.260358591607292
53.0,54,362.0,1.093655589123867,6.414464272333901
54.0,54,383.0,1.1432835820895522,6.505202388896814
55.0,54,384.0,1.119533527696793,6.516297684113314
56.0,50,396.0,1.1379310344827587,6.42457330989778
57.0,51,425.0,1.1971830985915493,6.393539675912965
58.0,56,461.0,1.2877094972067038,6.240613506654654
59.0,60,507.0,1.4005524861878453,6.230564553848387
60.0,62,521.0,1.4392265193370166,6.135730856657948
61.0,70,548.0,1.4891304347826086,6.107124325932949
62.0,79,593.0,1.6027027027027028,6.0470772976274
63.0,83,664.0,1.7612732095490715,6.044029844069134
64.0,82,667.0,1.7552631578947369,6.088228240867008
65.0,86,680.0,1.7754569190600522,6.202034111997241
66.0,88,703.0,1.8307291666666667,6.240143876429851
67.0,91,734.0,1.882051282051282,6.30731865907196
68.0,94,775.0,1.9620253164556962,6.313612529759647
69.0,100,825.0,2.0728643216080402,6.4379067386612245
70.0,104,880.0,2.189054726368159,6.3968012739314535
71.0,109,942.0,2.3201970443349755,6.397753549487517
