,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,1.151392877229955,0,0,0,0
3,3.0,1,0.0,0.0,2.1790907020602996,0,0,0,0
4,4.0,1,0.0,0.0,3.283780350949382,0,0,0,0
5,5.0,1,0.0,0.0,4.499021415761672,0,0,1,0
6,6.0,1,0.0,0.0,5.652909403352532,0,0,0,0
7,7.0,1,0.0,0.0,6.63001307429014,0,0,0,0
8,8.0,1,0.0,0.0,7.580147093569393,0,0,0,0
9,9.0,1,0.0,0.0,8.738042213612546,0,0,0,1
10,10.0,2,0.0,0.0,8.75065807402597,0,0,0,0
11,11.0,1,0.0,0.0,9.149819955468777,0,0,0,0
12,12.0,1,0.0,0.0,9.551442102247773,0,0,0,0
13,13.0,1,0.0,0.0,9.752273858421608,1,0,0,0
14,14.0,1,0.0,0.0,9.90177525489427,0,0,0,0
15,15.0,1,0.0,0.0,10.092616392732022,0,0,0,0
16,16.0,1,0.0,0.0,10.234230350899685,0,0,0,0
17,17.0,1,0.0,0.0,10.760482969036982,0,0,0,0
18,18.0,1,0.0,0.0,11.392076388616958,0,0,0,0
19,19.0,1,0.0,0.0,11.95414967615287,0,0,0,0
20,20.0,1,0.0,0.0,12.630525087535593,0,0,0,0
21,21.0,1,0.0,0.0,13.052233923593127,0,0,0,0
22,22.0,1,0.0,0.0,13.332711235297541,0,0,0,0
23,23.0,1,0.0,0.0,13.658845151620033,0,0,0,0
24,24.0,1,0.0,0.0,14.138523529177679,0,0,1,0
25,25.0,1,0.0,0.0,14.3600534526359,0,0,0,0
26,26.0,1,1.0,0.038461538461538464,15.038729140653375,1,0,0,0
27,27.0,2,2.0,0.07407407407407407,15.310639177597247,1,0,0,0
28,28.0,2,3.0,0.10714285714285714,15.464106931511676,1,0,0,0
29,29.0,2,4.0,0.13793103448275862,15.28377320290556,1,0,1,0
30,30.0,2,1.0,0.03333333333333333,15.114084575844917,0,0,0,0
31,31.0,2,2.0,0.06451612903225806,14.996118398542839,0,0,0,0
32,32.0,1,0.0,0.0,15.105498200651756,0,0,1,0
33,33.0,1,0.0,0.0,15.263403306652387,0,0,0,0
34,34.0,2,1.0,0.029411764705882353,15.12372368772282,1,0,0,0
35,35.0,2,2.0,0.05714285714285714,14.839853786022209,1,0,0,0
36,36.0,2,3.0,0.08333333333333333,14.587957271041397,1,0,0,0
37,37.0,3,4.0,0.10526315789473684,13.877655201384025,1,0,0,0
38,38.0,3,6.0,0.15384615384615385,13.886446509397514,1,0,1,0
39,39.0,2,0.0,0.0,13.434090887656765,0,0,0,0
40,40.0,1,0.0,0.0,13.568390227852309,0,0,0,0
41,41.0,3,2.0,0.04878048780487805,13.563924787033967,0,0,1,1
42,42.0,3,4.0,0.09523809523809523,13.485254019341689,0,0,1,1
43,43.0,2,6.0,0.14285714285714285,13.67297666440931,0,0,1,1
44,44.0,5,9.0,0.20454545454545456,13.130069807010102,0,0,2,1
45,45.0,4,8.0,0.17777777777777778,13.408566581923505,1,0,2,0
46,46.0,4,12.0,0.2727272727272727,13.815797155275744,1,0,3,0
47,47.0,6,16.0,0.34782608695652173,13.551825227916938,1,0,3,0
48,48.0,4,16.0,0.3404255319148936,13.912543322440142,0,0,3,1
49,49.0,4,19.0,0.3958333333333333,14.303152633554781,0,0,3,0
50,50.0,4,22.0,0.4489795918367347,14.418099662736429,0,0,3,0
51,51.0,3,25.0,0.5102040816326531,15.082419644148526,0,0,3,0
52,52.0,5,28.0,0.5490196078431373,15.022920978983404,0,0,4,0
53,53.0,4,31.0,0.5961538461538461,15.116299832871071,0,0,3,0
54,54.0,5,34.0,0.6415094339622641,14.71981311947172,0,0,3,0
55,55.0,4,37.0,0.6851851851851852,14.962000897375974,0,0,3,0
56,56.0,5,40.0,0.7142857142857143,14.545868954482092,0,0,3,0
57,57.0,5,44.0,0.7857142857142857,14.280381211051212,1,0,3,0
58,58.0,5,47.0,0.8392857142857143,14.068559325350037,0,0,3,1
59,59.0,5,51.0,0.8947368421052632,13.705750851001001,0,1,3,1
60,60.0,4,55.0,0.9649122807017544,13.508788888313186,0,0,3,1
61,61.0,6,60.0,1.0344827586206897,13.049361651446128,0,0,4,1
62,62.0,7,65.0,1.0833333333333333,12.500884297523179,0,1,4,1
63,63.0,8,72.0,1.180327868852459,12.631046427054152,1,0,5,2
64,64.0,11,81.0,1.2857142857142858,12.637490329691135,1,0,7,1
65,65.0,8,88.0,1.3968253968253967,13.164454041968707,1,0,6,1
66,66.0,8,87.0,1.359375,13.50919541247788,1,0,6,0
67,67.0,8,94.0,1.4461538461538461,13.702718085366394,1,0,7,0
68,68.0,8,101.0,1.5303030303030303,13.844837242124035,1,0,6,0
69,69.0,9,109.0,1.6515151515151516,13.880812982043315,1,1,6,0
70,70.0,9,117.0,1.7727272727272727,13.836734244711266,1,0,6,0
71,71.0,8,125.0,1.893939393939394,14.017556827555813,1,0,6,0
72,72.0,11,135.0,2.014925373134328,13.972691889728168,2,0,7,0
73,73.0,13,146.0,2.1470588235294117,13.462714779981635,3,0,7,0
74,74.0,14,159.0,2.338235294117647,13.138821701563801,4,1,8,0
75,75.0,13,165.0,2.391304347826087,12.823582175220794,4,0,8,0
76,76.0,15,178.0,2.507042253521127,11.98825805100295,5,0,8,1
77,77.0,14,192.0,2.782608695652174,11.075454548384487,5,0,8,0
78,78.0,16,188.0,2.647887323943662,10.459979697676276,4,0,10,0
79,79.0,14,199.0,2.8028169014084505,10.180083785089618,4,0,9,0
80,80.0,16,214.0,2.9722222222222223,10.099942394048574,4,2,9,0
81,81.0,17,229.0,3.1805555555555554,9.758378048315798,4,2,10,0
82,82.0,18,246.0,3.3698630136986303,9.835991399185033,4,3,9,1
83,83.0,18,264.0,3.6164383561643834,9.98769415863171,4,3,10,1
84,84.0,18,274.0,3.7534246575342465,10.343488435544709,4,1,10,3
85,85.0,20,292.0,3.8933333333333335,10.43910956223324,4,1,10,3
