,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,1.1259636802249589,0,0,0,0
3,3.0,1,0.0,0.0,2.0850623424863444,0,0,0,0
4,4.0,1,0.0,0.0,2.9243127997091505,0,0,0,0
5,5.0,1,0.0,0.0,3.8068615090567626,0,0,1,0
6,6.0,1,0.0,0.0,4.822294656703404,0,0,0,0
7,7.0,1,0.0,0.0,5.810897703648413,0,0,0,0
8,8.0,1,0.0,0.0,6.573556929870392,0,0,0,0
9,9.0,1,0.0,0.0,7.434204162220057,0,0,0,1
10,10.0,2,0.0,0.0,7.752161765625616,0,0,0,0
11,11.0,1,0.0,0.0,8.678732757508303,0,0,0,0
12,12.0,1,0.0,0.0,9.04613821655807,0,0,0,0
13,13.0,1,0.0,0.0,9.219226680259856,1,0,0,0
14,14.0,1,0.0,0.0,9.436440428744362,0,0,0,0
15,15.0,1,0.0,0.0,9.8579187907926,0,0,0,0
16,16.0,1,0.0,0.0,9.9700604190591,0,0,0,0
17,17.0,1,0.0,0.0,10.35678832983796,0,0,0,0
18,18.0,1,0.0,0.0,10.475849847587131,0,0,0,0
19,19.0,1,0.0,0.0,11.075076095447574,0,0,0,0
20,20.0,1,0.0,0.0,11.415505307910868,0,0,0,0
21,21.0,1,0.0,0.0,12.18441039016086,0,0,0,0
22,22.0,1,0.0,0.0,12.614826985317956,0,0,0,0
23,23.0,2,1.0,0.041666666666666664,13.024926727247129,0,0,0,1
24,24.0,2,2.0,0.08,13.251777779045792,0,0,1,1
25,25.0,2,3.0,0.11538461538461539,13.726309569993278,0,0,0,1
26,26.0,2,5.0,0.19230769230769232,14.68321356379473,1,0,0,1
27,27.0,3,7.0,0.25925925925925924,14.96105995806412,1,0,0,1
28,28.0,3,9.0,0.32142857142857145,14.67813601251666,1,0,0,1
29,29.0,3,11.0,0.3793103448275862,14.843818190214494,1,0,1,1
30,30.0,3,13.0,0.43333333333333335,14.746304968010843,1,0,0,1
31,31.0,4,16.0,0.5161290322580645,14.903044591459283,1,0,0,1
32,32.0,3,17.0,0.53125,14.945633050798111,1,0,1,1
33,33.0,3,19.0,0.5757575757575758,14.85851460601065,1,0,0,1
34,34.0,3,21.0,0.6176470588235294,14.822137140322488,1,0,0,1
35,35.0,3,23.0,0.6571428571428571,14.734048831631972,1,0,0,1
36,36.0,3,25.0,0.6944444444444444,14.641301071414805,1,0,0,1
37,37.0,5,28.0,0.7368421052631579,14.077672105784904,1,0,1,1
38,38.0,5,31.0,0.775,13.853975829605412,1,0,1,1
39,39.0,6,35.0,0.8333333333333334,13.804985789625478,1,0,2,1
40,40.0,5,40.0,0.975609756097561,14.314512685372911,1,0,2,1
41,41.0,6,44.0,1.0731707317073171,14.326061866757613,1,0,3,1
42,42.0,5,45.0,1.0975609756097562,14.289964916049668,1,0,2,1
43,43.0,4,49.0,1.1951219512195121,14.785062792584801,1,0,2,1
44,44.0,6,53.0,1.2325581395348837,14.330652779499978,1,0,2,1
45,45.0,4,37.0,0.8604651162790697,14.246508053982147,0,0,2,1
46,46.0,4,40.0,0.9090909090909091,14.419072215158492,0,0,2,1
47,47.0,5,43.0,0.9347826086956522,14.125684356289735,0,0,2,1
48,48.0,3,20.0,0.425531914893617,14.202631203427186,0,0,2,1
49,49.0,4,23.0,0.4791666666666667,14.455642025467297,1,0,2,0
50,50.0,3,26.0,0.5416666666666666,14.877207044692545,1,0,2,0
51,51.0,4,29.0,0.5918367346938775,14.775282740604938,1,0,2,0
52,52.0,6,33.0,0.6470588235294118,14.446714109984978,1,0,3,1
53,53.0,6,38.0,0.7307692307692307,14.156672384756469,1,0,2,2
54,54.0,6,37.0,0.6981132075471698,13.757717599121873,0,0,3,2
55,55.0,6,42.0,0.7777777777777778,13.831916173960908,0,0,3,2
56,56.0,6,47.0,0.8545454545454545,14.112722701205342,0,0,3,2
57,57.0,4,41.0,0.7454545454545455,14.206001287111953,0,0,3,0
58,58.0,5,45.0,0.8035714285714286,13.955198207851511,0,0,3,1
59,59.0,5,49.0,0.8596491228070176,13.656928214351819,0,1,3,1
60,60.0,4,53.0,0.9464285714285714,13.452453815580883,0,0,3,1
61,61.0,6,58.0,1.0175438596491229,13.03846953704325,0,0,4,1
62,62.0,7,64.0,1.103448275862069,13.105044733501783,1,0,4,1
63,63.0,7,44.0,0.7457627118644068,13.160341675298461,1,0,3,3
64,64.0,10,28.0,0.45901639344262296,13.132744886293072,2,1,4,2
65,65.0,6,33.0,0.5409836065573771,13.916179109234331,2,0,2,2
66,66.0,7,31.0,0.5,14.142540569349315,2,1,2,1
67,67.0,8,37.0,0.578125,14.004252221091498,2,1,3,1
68,68.0,7,43.0,0.6615384615384615,14.00533301827454,2,1,2,1
69,69.0,7,49.0,0.7538461538461538,13.683378023813978,2,2,2,1
70,70.0,8,56.0,0.8615384615384616,13.46630240079092,2,2,2,1
71,71.0,7,63.0,0.9692307692307692,13.567525191408278,2,2,2,1
72,72.0,5,30.0,0.44776119402985076,13.43315814123474,2,0,0,1
73,73.0,4,33.0,0.4852941176470588,13.800982497365577,2,0,0,1
74,74.0,4,36.0,0.5373134328358209,13.751839488609962,2,1,0,1
75,75.0,3,26.0,0.38235294117647056,13.899958795028763,2,0,0,0
76,76.0,5,29.0,0.42028985507246375,13.642847665694052,3,0,0,1
77,77.0,5,33.0,0.4714285714285714,13.527919454685609,3,0,0,0
78,78.0,6,37.0,0.5285714285714286,13.575802848736672,4,0,2,0
79,79.0,6,42.0,0.5915492957746479,13.62815196075714,4,0,1,0
80,80.0,7,48.0,0.676056338028169,13.543319396526794,4,0,2,0
81,81.0,10,56.0,0.7671232876712328,13.349442690235106,4,0,4,1
82,82.0,9,64.0,0.8648648648648649,13.362258131952814,4,0,3,1
83,83.0,10,74.0,1.0136986301369864,13.334032677423139,5,1,3,1
84,84.0,11,85.0,1.1643835616438356,13.540633036591185,5,1,4,1
